epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1845.95,1.30058,2.90955,1.1793,0.30587,0.17647,0.11815,0.08788,1.19226,2.62408,1.15497,2.37748e-05,2.37748e-05,2.37748e-05
54,1879.32,1.29519,2.8889,1.16567,0.30281,0.17668,0.11864,0.08781,1.18878,2.61721,1.14809,2.32897e-05,2.32897e-05,2.32897e-05
55,1912.89,1.29756,2.879,1.17143,0.30018,0.18482,0.12312,0.09129,1.18588,2.60394,1.14867,2.28046e-05,2.28046e-05,2.28046e-05
56,1946.02,1.29316,2.86491,1.1692,0.30607,0.17944,0.12551,0.09357,1.17821,2.6056,1.14533,2.23195e-05,2.23195e-05,2.23195e-05
57,1979.61,1.29151,2.87378,1.16747,0.29792,0.17678,0.12489,0.09245,1.1749,2.59583,1.14523,2.18344e-05,2.18344e-05,2.18344e-05
58,2013.24,1.27609,2.84984,1.164,0.3228,0.18813,0.1274,0.09447,1.17356,2.58404,1.13979,2.13493e-05,2.13493e-05,2.13493e-05
59,2046.49,1.27129,2.84263,1.15869,0.31845,0.18578,0.12863,0.09579,1.16753,2.5712,1.1384,2.08642e-05,2.08642e-05,2.08642e-05
60,2079.87,1.27366,2.83705,1.162,0.32969,0.18952,0.13006,0.09666,1.16642,2.56624,1.13639,2.03791e-05,2.03791e-05,2.03791e-05
61,2113.2,1.27429,2.84193,1.16247,0.31587,0.1931,0.13167,0.09822,1.16235,2.55661,1.13385,1.9894e-05,1.9894e-05,1.9894e-05
62,2146.51,1.26939,2.83223,1.16361,0.33314,0.19383,0.13141,0.0984,1.15768,2.55634,1.13271,1.94089e-05,1.94089e-05,1.94089e-05
63,2180.32,1.26274,2.80542,1.15964,0.31114,0.1899,0.13462,0.10073,1.15686,2.5494,1.13081,1.89238e-05,1.89238e-05,1.89238e-05
64,2213.82,1.25318,2.7862,1.13806,0.33985,0.18676,0.1339,0.10013,1.15489,2.5381,1.12851,1.84387e-05,1.84387e-05,1.84387e-05
65,2246.95,1.24896,2.77451,1.14712,0.30977,0.19885,0.13503,0.1005,1.15526,2.53237,1.1271,1.79536e-05,1.79536e-05,1.79536e-05
66,2280.45,1.26022,2.78617,1.15623,0.35795,0.19556,0.13604,0.10154,1.1477,2.52414,1.12467,1.74685e-05,1.74685e-05,1.74685e-05
67,2313.81,1.26001,2.77844,1.14894,0.33399,0.19374,0.137,0.10271,1.14772,2.51675,1.125,1.69834e-05,1.69834e-05,1.69834e-05
68,2347.14,1.24405,2.77125,1.1503,0.35262,0.19308,0.13792,0.10306,1.14353,2.50903,1.12324,1.64983e-05,1.64983e-05,1.64983e-05
69,2380.69,1.23676,2.75711,1.13876,0.3489,0.19926,0.13825,0.10338,1.13808,2.50924,1.12111,1.60132e-05,1.60132e-05,1.60132e-05
70,2414.18,1.2455,2.76144,1.15109,0.34615,0.19736,0.13973,0.10462,1.13931,2.50312,1.12093,1.55281e-05,1.55281e-05,1.55281e-05
71,2447.58,1.23748,2.74177,1.1402,0.31925,0.19957,0.13876,0.10401,1.13797,2.50438,1.11975,1.5043e-05,1.5043e-05,1.5043e-05
72,2480.73,1.23882,2.7352,1.14446,0.34161,0.19606,0.14027,0.10519,1.13913,2.49785,1.11917,1.45579e-05,1.45579e-05,1.45579e-05
73,2513.88,1.22353,2.71883,1.1414,0.32764,0.20722,0.14028,0.10514,1.13668,2.49169,1.11747,1.40728e-05,1.40728e-05,1.40728e-05
74,2546.93,1.23964,2.73748,1.1389,0.32022,0.2089,0.14204,0.10653,1.13497,2.48892,1.11502,1.35877e-05,1.35877e-05,1.35877e-05
75,2579.86,1.22087,2.7223,1.13068,0.31077,0.2093,0.14006,0.1049,1.13415,2.48571,1.1148,1.31026e-05,1.31026e-05,1.31026e-05
76,2612.89,1.23287,2.71935,1.13815,0.33803,0.20141,0.14209,0.1066,1.13002,2.47549,1.11263,1.26175e-05,1.26175e-05,1.26175e-05
77,2646.35,1.23657,2.72399,1.13872,0.35094,0.19651,0.14427,0.10877,1.12664,2.47768,1.11126,1.21324e-05,1.21324e-05,1.21324e-05
78,2679.67,1.20808,2.68715,1.12501,0.34706,0.19872,0.14441,0.10859,1.12594,2.47476,1.11066,1.16473e-05,1.16473e-05,1.16473e-05
79,2713.13,1.21507,2.70692,1.13295,0.34521,0.20116,0.14588,0.10962,1.1266,2.47116,1.11026,1.11622e-05,1.11622e-05,1.11622e-05
80,2746.34,1.21366,2.68598,1.12546,0.32406,0.2018,0.14773,0.11095,1.12642,2.4665,1.10886,1.06771e-05,1.06771e-05,1.06771e-05
81,2779.51,1.21975,2.70795,1.13004,0.32629,0.20765,0.14766,0.11102,1.1228,2.46198,1.10772,1.0192e-05,1.0192e-05,1.0192e-05
82,2812.62,1.22415,2.70193,1.1313,0.33453,0.20302,0.14873,0.11185,1.12163,2.45668,1.10675,9.7069e-06,9.7069e-06,9.7069e-06
83,2845.63,1.22166,2.70426,1.12718,0.33332,0.19998,0.14862,0.11144,1.11994,2.45559,1.10593,9.2218e-06,9.2218e-06,9.2218e-06
84,2878.93,1.21765,2.67648,1.12711,0.3361,0.19849,0.14968,0.11239,1.11888,2.45193,1.10491,8.7367e-06,8.7367e-06,8.7367e-06
85,2912.2,1.21183,2.67701,1.12644,0.34741,0.19695,0.15058,0.11334,1.11829,2.45044,1.10367,8.2516e-06,8.2516e-06,8.2516e-06
86,2945.47,1.20843,2.68151,1.12608,0.31835,0.20823,0.14924,0.11213,1.1183,2.44975,1.10281,7.7665e-06,7.7665e-06,7.7665e-06
87,2978.52,1.1952,2.65685,1.11688,0.31742,0.21584,0.14962,0.11279,1.11627,2.44599,1.10271,7.2814e-06,7.2814e-06,7.2814e-06
88,3011.74,1.19384,2.67243,1.11824,0.32069,0.20956,0.15054,0.11348,1.11502,2.44739,1.10295,6.7963e-06,6.7963e-06,6.7963e-06
89,3044.83,1.2061,2.67137,1.12138,0.32434,0.21089,0.15062,0.11355,1.11539,2.4468,1.10263,6.3112e-06,6.3112e-06,6.3112e-06
90,3078.08,1.20166,2.66439,1.12624,0.32328,0.21086,0.15162,0.11432,1.11464,2.44334,1.1022,5.8261e-06,5.8261e-06,5.8261e-06
91,3113.46,1.14745,2.72641,1.1297,0.32181,0.20805,0.14769,0.11049,1.13114,2.46084,1.10375,5.341e-06,5.341e-06,5.341e-06
92,3146.26,1.14765,2.70693,1.1374,0.32632,0.20691,0.14827,0.11064,1.13093,2.45669,1.10229,4.8559e-06,4.8559e-06,4.8559e-06
93,3179.16,1.13982,2.70472,1.13407,0.32637,0.20464,0.14881,0.11129,1.13087,2.45123,1.1017,4.3708e-06,4.3708e-06,4.3708e-06
94,3211.98,1.13908,2.68515,1.12755,0.34739,0.20303,0.14859,0.11129,1.13046,2.44643,1.10131,3.8857e-06,3.8857e-06,3.8857e-06
95,3244.98,1.12372,2.67734,1.12211,0.34859,0.20262,0.14925,0.11186,1.12889,2.44307,1.10042,3.4006e-06,3.4006e-06,3.4006e-06
96,3277.94,1.12697,2.66888,1.12427,0.33774,0.20416,0.14947,0.11173,1.12933,2.44271,1.10026,2.9155e-06,2.9155e-06,2.9155e-06
97,3310.57,1.13047,2.67627,1.12137,0.34355,0.2015,0.15012,0.11236,1.12784,2.44077,1.09964,2.4304e-06,2.4304e-06,2.4304e-06
98,3343.6,1.1274,2.66098,1.11811,0.34266,0.20224,0.1502,0.11252,1.12746,2.43809,1.09923,1.9453e-06,1.9453e-06,1.9453e-06
99,3376.06,1.13199,2.66844,1.12781,0.32716,0.20891,0.15069,0.11305,1.12729,2.43726,1.09925,1.4602e-06,1.4602e-06,1.4602e-06
100,3408.73,1.12905,2.66584,1.1185,0.33271,0.20702,0.15067,0.11303,1.12725,2.43823,1.09903,9.751e-07,9.751e-07,9.751e-07
